stop_name,district,total_boardings,total_alightings,total_users,route_count,boardings_per_route,commute_boardings,evening_boardings,commute_focus_pct,evening_focus_pct,peak_hour,boarding_alighting_gap,imbalance_index,stop_type,latitude,longitude
SK리더스뷰건너,수성구,543975,133647,677622,3,181325.0,1048,1796,16.462456801759345,28.212378259503613,17시,410328,0.6055411424068285,퇴근형,35.840208,128.6208946
이진캐스빌건너,달성군,542087,18708,560795,3,180695.66666666666,1675,914,29.894699268249152,16.31268963055506,7시,523379,0.9332804322435114,출근형,35.78234167,128.44062
퀸스로드건너(동편),서구,360299,87931,448230,2,180149.5,771,1168,21.042576419213972,31.877729257641924,18시,272368,0.6076523213528768,퇴근형,35.86260413,128.5462568
안심역(1번출구),동구,358398,34369,392767,2,179199.0,2609,417,60.66031155545222,9.695419669844222,8시,324029,0.8249903887037353,출근형,35.87240667,128.733565
새각단앞,달서구,357372,16248,373620,2,178686.0,1549,439,37.725280077934734,10.691670725767171,7시,341124,0.9130239280552434,출근형,35.80039885,128.5287947
대구의료원건너,서구,523036,61963,584999,3,174345.33333333334,1228,1982,19.175515302935665,30.949406620861964,18시,461073,0.7881603216415755,퇴근형,35.85875,128.54088
대구시교육청앞,수성구,348398,316606,665004,2,174199.0,830,989,20.263671875,24.1455078125,16시,31792,0.04780723123469934,생활형,35.85787575,128.6140277
비산초등학교건너,서구,518929,109729,628658,3,172976.33333333334,1941,905,36.01113172541744,16.79035250463822,7시,409200,0.650910351892444,출근형,35.87950583,128.5656496
동부중학교건너,수성구,344725,38493,383218,2,172362.5,987,576,24.220858895705522,14.134969325153374,16시,306232,0.7991065137858869,생활형,35.87213258,128.643674
대구보건대학교건너1,북구,342332,41731,384063,2,171166.0,201,1082,5.2316501821967725,28.162415408641333,16시,300601,0.7826866946308288,퇴근형,35.9270949,128.544369
봉덕시장건너3,남구,513121,57756,570877,3,171040.33333333334,1040,1227,17.373872368860674,20.497828265953892,12시,455365,0.7976586900505713,생활형,35.84558833,128.6040133
태왕아너스복현앞,북구,511434,97429,608863,3,170478.0,1591,973,27.52119010551808,16.830998097215012,16시,414005,0.6799641298617258,출근형,35.89998527,128.620126
상인삼미타운앞,달서구,340396,51281,391677,2,170198.0,611,1104,15.29794692038057,27.641462193289932,18시,289115,0.7381464829438542,퇴근형,35.81627,128.5332817
율하휴먼시아5단지앞,동구,509510,38166,547676,3,169836.66666666666,2230,820,38.30956880261123,14.086926644906372,8시,471344,0.8606256253697442,출근형,35.86396387,128.6907308
상인2동행정복지센터건너,달서구,336982,18267,355249,2,168491.0,1030,639,28.754885538805137,17.839195979899497,8시,318715,0.8971594571694783,출근형,35.81262667,128.5366083
이마트월배점건너,달서구,502976,279171,782147,3,167658.66666666666,657,2166,9.518980005795422,31.382208055636045,18시,223805,0.2861418633581667,퇴근형,35.81567667,128.523215
북리1,달성군,502169,127043,629212,3,167389.66666666666,1811,1133,33.21716801173881,20.78136463683052,7시,375126,0.5961837981475242,출근형,35.728715,128.4443867
