stop_name,district,total_boardings,total_alightings,total_users,route_count,boardings_per_route,commute_boardings,evening_boardings,commute_focus_pct,evening_focus_pct,peak_hour,boarding_alighting_gap,imbalance_index,stop_type,latitude,longitude
이곡마을건너,북구,5549,19982,25531,3,1849.6666666666667,1,0,5.0,0.0,16시,-14433,0.5653127570404606,생활형,35.935875,128.6077583
월암교1,,5523,105,5628,,,,,,,,5418,0.9626865671641791,생활형,,
금강동,동구,5523,724,6247,1,5523.0,2,5,16.666666666666664,41.66666666666667,13시,4799,0.7682087401952937,퇴근형,35.8591062,128.7363805
안심역코오롱하늘채앞,동구,5504,22233,27737,1,5504.0,4,1,30.76923076923077,7.6923076923076925,8시,-16729,0.6031293939503191,출근형,35.86617157,128.732944
이곡양수장건너,북구,5496,4385,9881,3,1832.0,0,10,0.0,52.63157894736842,20시,1111,0.11243801234692845,퇴근형,35.93229833,128.6039267
동북주유소건너,동구,5493,3905,9398,2,2746.5,0,9,0.0,20.930232558139537,15시,1588,0.16897212172802725,생활형,35.95272,128.634155
상리마을앞,동구,5491,129,5620,2,2745.5,35,0,83.33333333333334,0.0,9시,5362,0.9540925266903915,출근형,35.979775,128.6282283
성동마을건너,수성구,5475,12315,17790,1,5475.0,8,2,42.10526315789473,10.526315789473683,12시,-6840,0.3844856661045531,출근형,35.8485368,128.7208857
금호천년나무1단지동편건너,북구,5462,138093,143555,3,1820.6666666666667,2,15,8.0,60.0,18시,-132631,0.923903730277594,퇴근형,35.8976,128.5171333
호촌2리(다산방향),,5451,3577,9028,,,2,13,9.090909090909092,59.09090909090909,20시,1874,0.20757642888790429,퇴근형,,
송림마을(칠곡군),,5438,62,5500,,,11,0,32.35294117647059,0.0,14시,5376,0.9774545454545455,출근형,,
송학2리사거리입구,,5417,216,5633,,,10,0,38.46153846153847,0.0,9시,5201,0.9233090715426948,출근형,,
연경5,,5387,198,5585,,,,,,,,5189,0.9290957923008057,생활형,,
구지중학교건너,달성군,5376,20842,26218,1,5376.0,5,1,83.33333333333334,16.666666666666664,7시,-15466,0.5899000686551225,출근형,35.66035833,128.4172167
IHL앞,,5370,296,5666,,,,,,,,5074,0.8955171196611366,생활형,,
대구선방촌공원남편,동구,5362,37445,42807,1,5362.0,34,2,72.3404255319149,4.25531914893617,8시,-32083,0.7494802251968136,출근형,35.88033175,128.6696015
베어산업앞,북구,5346,2843,8189,2,2673.0,11,52,14.285714285714285,67.53246753246754,18시,2503,0.3056539259982904,퇴근형,35.91407833,128.61353
대구한의대병원역,동구,5339,2852,8191,6,889.8333333333334,23,31,19.82758620689655,26.72413793103448,17시,2487,0.303625930899768,퇴근형,35.87229333,128.7506183
옥포농협2,달성군,5295,9811,15106,1,5295.0,13,1,44.827586206896555,3.4482758620689653,16시,-4516,0.2989540579902026,출근형,35.78868618,128.4623568
군위국민체육센터,군위군,5293,1599,6892,9,588.1111111111111,4,14,3.1746031746031744,11.11111111111111,10시,3694,0.5359837492745212,생활형,36.23765833,128.5731
두리봉터널종점건너,수성구,5280,1409,6689,4,1320.0,34,11,44.73684210526316,14.473684210526317,8시,3871,0.578711317087756,출근형,35.84367833,128.6424217
평광마을회관,동구,5265,7,5272,1,5265.0,11,1,28.205128205128204,2.564102564102564,10시,5258,0.9973444613050075,출근형,35.93266587,128.690336
용연사시설집단지구건너,달성군,5245,104,5349,3,1748.3333333333333,0,5,0.0,38.46153846153847,15시,5141,0.96111422695831,퇴근형,35.75388833,128.5064733
장기초등학교건너,달서구,5212,694,5906,1,5212.0,20,5,40.816326530612244,10.204081632653061,7시,4518,0.7649847612597359,출근형,35.8435119,128.5273621
신무3교(하행),동구,5187,5,5192,1,5187.0,23,8,43.39622641509434,15.09433962264151,8시,5182,0.9980739599383667,출근형,35.98839348,128.6714926
금호초등학교,,5176,212,5388,,,0,0,0.0,0.0,12시,4964,0.9213066072754269,생활형,,
단산리(송하빌라)1,달성군,5134,22,5156,1,5134.0,24,0,37.5,0.0,9시,5112,0.991466252909232,출근형,35.76802333,128.6592633
금구2리,군위군,5127,761,5888,10,512.7,26,9,27.956989247311824,9.67741935483871,13시,4366,0.7415081521739131,출근형,36.20408167,128.56403
가태리마을회관건너,달성군,5101,1246,6347,1,5101.0,31,0,72.09302325581395,0.0,9시,3855,0.6073735623129037,출근형,35.649814,128.4728171
앞산보성타운건너,남구,5073,10831,15904,1,5073.0,1,0,25.0,0.0,16시,-5758,0.3620472837022133,출근형,35.83579167,128.5950183
중심마을2,동구,5069,484,5553,1,5069.0,14,3,31.818181818181817,6.8181818181818175,8시,4585,0.8256798127138484,출근형,35.95861333,128.6845433
금융감독원건너,,5062,20090,25152,,,,,,,,-15028,0.5974872773536896,생활형,,
다사농협주유소건너,달성군,5030,100477,105507,8,628.75,2,0,11.11111111111111,0.0,15시,-95447,0.904650876245178,생활형,35.87095833,128.496765
중앙교육연수원앞,동구,5005,16366,21371,1,5005.0,0,39,0.0,92.85714285714286,18시,-11361,0.5316082541762202,퇴근형,35.88372667,128.7315383
우록리(숲속전원마을)앞,달성군,4998,57,5055,1,4998.0,23,0,42.592592592592595,0.0,9시,4941,0.9774480712166173,출근형,35.72787833,128.657145
교대부설초등학교앞,달서구,4998,59985,64983,4,1249.5,4,0,36.36363636363637,0.0,7시,-54987,0.846175153501685,출근형,35.80536247,128.5317611
도동제1경로당앞,동구,4985,192,5177,1,4985.0,1,10,6.25,62.5,18시,4793,0.9258257678192003,퇴근형,35.91212063,128.6562877
유가농협앞,달성군,4979,1011,5990,3,1659.6666666666667,6,0,8.823529411764707,0.0,16시,3968,0.6624373956594324,생활형,35.67153333,128.4489833
만촌체육공원,수성구,4962,3013,7975,2,2481.0,3,23,5.084745762711865,38.983050847457626,17시,1949,0.24438871473354232,퇴근형,35.87454547,128.6575487
달성2차산업단지출장소앞,달성군,4921,841,5762,1,4921.0,5,8,38.46153846153847,61.53846153846154,7시,4080,0.7080874696286011,출퇴근형,35.63996,128.421765
경서중학교앞,달성군,4897,8158,13055,1,4897.0,16,21,14.678899082568808,19.26605504587156,15시,-3261,0.2497893527384144,저이용형,35.781525,128.4469233
조양회관,동구,4875,11227,16102,3,1625.0,0,2,0.0,7.6923076923076925,12시,-6352,0.3944851571233387,저이용형,35.87673742,128.6557269
현대메카닉스건너,달성군,4872,126,4998,1,4872.0,10,12,45.45454545454545,54.54545454545454,8시,4746,0.9495798319327731,저이용형,35.639745,128.4258383
동호동앞(북구),북구,4870,18811,23681,10,487.0,6,0,26.08695652173913,0.0,6시,-13941,0.5886998015286516,저이용형,35.95937,128.5531167
중마을(갓바위방향),동구,4866,9009,13875,3,1622.0,10,2,27.027027027027028,5.405405405405405,16시,-4143,0.2985945945945946,저이용형,35.96614,128.7211433
다산농협앞,,4849,42203,47052,,,0,10,0.0,25.0,11시,-37354,0.7938876137039871,저이용형,,
청천역(하양방향),,4835,11414,16249,,,0,6,0.0,60.0,17시,-6579,0.40488645455104927,저이용형,,
