년월,정류소명,승차,하차
2022-01-01,달서별빛캠핑장앞,26,11
2022-01-01,달서시장건너,1858,188
2022-01-01,달서시장앞,708,335
2022-01-01,달서아트센터건너,1382,137
2022-01-01,달서아트센터앞,218,63
2022-01-01,달서에스케이뷰아파트(북편),2040,100
2022-01-01,달서에스케이뷰아파트앞,1856,1335
2022-01-01,달서자동차검사소건너,82,1210
2022-01-01,달서자동차검사소앞,33,148
2022-01-01,달서중고등학교건너,51,0
2022-01-01,달서중고등학교앞,26,6
2022-01-01,달서천하수종말처리장건너,57,0
2022-01-01,달서천하수종말처리장앞,5,5
2022-01-01,달서초교,2153,198
2022-01-01,달성2차산업단지출장소건너,7,0
2022-01-01,달성2차산업단지출장소앞,30,7
2022-01-01,달성경찰서,1253,392
2022-01-01,달성공원건너,4822,1798
2022-01-01,달성공원역3번출구,9026,8473
2022-01-01,달성교육지원청-대구예아람학교건너,2394,812
2022-01-01,달성교육지원청-대구예아람학교앞,6454,570
2022-01-01,달성군민운동장건너,1606,357
2022-01-01,달성군민운동장앞,1971,699
2022-01-01,달성군민체육관건너,331,512
2022-01-01,달성군민체육관앞,689,52
2022-01-01,달성군보건소,1453,194
2022-01-01,달성군선거관리위원회건너,62,99
2022-01-01,달성군선거관리위원회앞,10,876
2022-01-01,달성군청건너,605,106
2022-01-01,달성군청앞,949,116
2022-01-01,달성기와건너,314,314
2022-01-01,달성기와앞,423,144
2022-01-01,달성도서관건너,0,2
2022-01-01,달성도서관입구,1,0
2022-01-01,달성문화원건너,1,0
2022-01-01,달성문화원앞,0,1
2022-01-01,달성보건너,1146,236
